,Name,street_address,Postcode,Latitude,Longitude
332,Rumba Cubana,235 Pavonia Ave,7302,40.72748,-74.043858
333,The Chick Shop,805 3rd Ave,10022,40.75537,-73.97054
334,The Lobster Place,75 9th Ave,10011,40.74274139,-74.00601181
335,Prince Tea House,31-47 Steinway St,11103,40.76008264,-73.91793009
336,Mazzat,208 Columbia St,11231,40.684942,-74.003028
337,Lilly's Craft and Kitchen,675 9th Ave,10036,40.761379999999996,-73.99070999999999
338,Falafel Tanami,1305 E 17th St,11230,40.6196559,-73.9582359
339,Cafe Belle,280 Mulberry St,10012,40.72437,-73.99509
340,Skewr Kabob Kitchen,34 East 23rd St,10010,40.7405,-73.98751999999999
341,Laly's Restaurant,75-19 Roosevelt Ave,11372,40.747207,-73.8897241
342,Cuisine By Claudette,143 Beach 116th St,11694,40.5788,-73.83699
343,Ammazzacaffè,702 Grand St,11211,40.7113172,-73.9446243
344,Kyo Ya,94 E 7th St,10009,40.7267,-73.98534000000001
345,Sushi by Bou Flatiron,49 W 20th St,10011,40.74094,-73.9937
346,Amber Steak House,119 Nassau Ave,11222,40.72446417,-73.94901804
347,DokoDemo,89 E 4th St,10003,40.72638,-73.98964000000001
348,Companion Cafe,64 6th Ave,11217,40.6809842,-73.97457209999999
349,19 Cafe,84 Manhattan Ave,11206,40.70515,-73.9444199
350,Hansol Nutrition Center,160-26 Northern Blvd,11358,40.762701,-73.8053413
351,Gelateria Gentile,253 Wythe Ave,11249,40.7161757,-73.9637628
352,De Mole,2 Hope St,11211,40.713770000000004,-73.95786
353,5th Avenue Market & Gourmet Deli,185 5th Ave,11217,40.677054999999996,-73.979725
354,Blueprint,196 5th Ave,11217,40.6769,-73.980411
355,Sottocasa Pizzeria,298 Atlantic Ave,11201,40.688285,-73.989006
356,Defontes,379 Columbia St,11231,40.67894444,-74.00536913
357,Nai Tapas,85 2nd Ave,10003,40.726794899999994,-73.98928149999999
358,Cafe Alula,252 Franklin St,11222,40.734609999999996,-73.95822
359,Gelso & Grand,186 Grand St,10013,40.71940895,-73.99737779
360,Van Hook Cheese & Grocery,528 Jersey Ave,7302,40.720929999999996,-74.04621999999999
361,Taverna Kyclades,3307 Ditmars Blvd,11105,40.775322700000004,-73.909217
362,Ba'al Cafe & Falafel,71 Sullivan St,10012,40.724469899999995,-74.0039
363,Nicks Bistro,104-20 Metropolitan Ave,11375,40.709937,-73.84830589
364,The Dumpling Shop,124 2nd Ave,10003,40.72819806,-73.98774459
365,JeJu Noodle Bar,679 Greenwich St,10014,40.73304,-74.00734
366,Loring Place,21 W 8th St,10011,40.73299408,-73.99753571
367,Soup Dumpling Plus,1550 Lemoine Ave,7024,40.847570000000005,-73.9706099
368,15 Fox Place,15 Fox Pl,7306,40.733709999999995,-74.07251
369,The Cast Iron Pot 2,320 Bergen Blvd,7022,40.82018,-73.99984
370,Chow House,181 Bleecker St,10012,40.72915,-74.00072
371,Love Cafe,283 Pleasant Ave,10029,40.79458274,-73.93370504
372,Tian Jin Dumpling House,37-11 Main St,11355,40.761393,-73.830363
373,Blue Hill,75 Washington Pl,10011,40.73206403,-73.9996931
374,Dayi'nin Yeri,333 Palisade Ave,7010,40.81584,-73.991
375,Punchline Juice Bar,638 Nostrand Ave,11216,40.67656316,-73.9500241
376,Leo's Latticini Mama's,46-02 104th St,11368,40.746219,-73.860061
377,Bernie's,332 Driggs Ave,11222,40.72191239,-73.95059300000001
378,The Panorama of My Silence-Heart,84-73 Parsons Blvd,11432,40.712428100000004,-73.8063559
379,DOMODOMO,140 W Houston St,10012,40.72803,-74.00166999999999
380,Krupa Grocery,231 Prospect Park W,11215,40.6598242,-73.980508
381,Sons of Thunder,204 E 38th St,10016,40.747859999999996,-73.97589
382,Doctor's Cave Cafe,856 Marcy Ave,11216,40.68412342,-73.94701998
383,Evelina,211 Dekalb Ave,11205,40.689721999999996,-73.971003
384,PokeRice,162 West 4th St,10014,40.73187,-74.00138000000001
385,Rahi,60 Greenwich Ave,10011,40.7360271,-74.0005436
386,Cassava House,2270 First Ave,10035,40.79634,-73.93477
387,Lokal 83 Mediterranean Kitchen,473 Columbus Ave,10024,40.7842696,-73.9734941
388,Agora Turkish Restaurant,1565 2nd Ave,10028,40.77492,-73.95411999999999
389,Summer Salt,30 East 23rd St,10010,40.74057,-73.98768000000001
390,Lan Ting Hotpot,705 59th St,11220,40.637494000000004,-74.010961
391,Luigi's Pizzeria,326 Dekalb Ave,11205,40.6897,-73.965369
392,Rex,864 10th Ave,10019,40.768877,-73.98857882
393,The Flatiron Room,37 W 26th St,10010,40.74452,-73.99049000000001
394,Esme,999 Manhattan Ave,11222,40.73320339,-73.95496677
395,GLUR Thai,144 W 19th St,10011,40.741209999999995,-73.99665
396,Caracas Arepa Bar,91 E 7th St,10009,40.726965500000006,-73.9854223
397,Tzarevna,154 Orchard St,10002,40.72082,-73.98874
398,Loukoumi Taverna,45-07 Ditmars Blvd,11105,40.770790000000005,-73.90268
399,Pheasant,445 Graham Ave,11211,40.7185,-73.9452
400,The Factory Bar & Restaurant,1612 Madison St,11385,40.698844799999996,-73.90913409999999
401,Il Tinello Ristorante Italiano,16 W 56th St,10019,40.76256,-73.97565999999999
402,Postmark Cafe,326 6th St,11215,40.6710865,-73.9852
403,Ise Restaurant,63 Cooper Sq,10003,40.729102399999995,-73.9900618
404,The Rag Trader & Bo Peep Cocktail and Highball Store,70 W 36th St,10018,40.75059,-73.98628000000001
405,Charter Coffeehouse,309 Graham Ave,11211,40.713328999999995,-73.944478
406,Chuan Tian Xia 川天下,5502 7th Ave,11220,40.6397,-74.00913100000001
407,The Wayland,700 E 9th St,10009,40.7251,-73.9778
408,Greecologies,379 Broome St,10013,40.720387,-73.996581
409,Pastosa Ravioli,7425 New Utrecht Ave,11204,40.615829999999995,-73.99969
410,Punjabi Grocery & Deli,114 E 1st St,10009,40.72272254,-73.98662246
411,Saiguette,935 Columbus Ave,10025,40.79902,-73.96281
412,The Royal Underground,36-10 30th Ave,11103,40.76463,-73.91716
413,Utopia Bagels,1909 Utopia Pkwy,11357,40.77989684,-73.79300516
414,La Ñapa,656 Nostrand Ave,11216,40.675959999999996,-73.95007
415,The Independent,147 W 40th St,10018,40.75468,-73.98744
416,Wowfulls,90 Kent Ave,10002,40.721231,-73.962162
417,Burger & Lobster,39 W 19th St,10011,40.74007,-73.99344
418,Alfie's Pizza,8608 117th St,11418,40.69983,-73.83291
419,Hamido Seafood,3308 Ditmars Blvd,11105,40.775000799999994,-73.9095623
420,Penny House Cafe,732 Washington Ave,11238,40.676044,-73.963713
421,Cellar 335,335 Newark Ave,7302,40.724969200000004,-74.0515195
422,Ltauha Restaurant,55-50 Myrtle Ave,11385,40.6998889,-73.9067463
423,Campania Coal Fired Pizza,9824 4th Ave,11209,40.61360931,-74.03333282
424,Roasted Masala,914 Columbus Ave,10025,40.79846,-73.96366
425,Mia's Bakery,139 Smith St,11201,40.687019899999996,-73.99012990000001
426,Snax Spot,534 9th Ave,10018,40.75674,-73.993461
427,Good Thanks NYC,131A Orchard St,10002,40.71972,-73.98952
428,Piccola Cucina Osteria,196 Spring St,10012,40.72506,-74.00322
429,Semicolon Cafe,77 Hudson St,7302,40.714764,-74.034663
430,Blue Cups,3804 61st St,11377,40.7475735,-73.90253050000001
431,Brooklyn Bagel & Coffee Company,286 8th Ave,10001,40.746183,-73.997642
432,Monarch Restaurant,146 Metropolitan Ave,11249,40.71595,-73.96222
433,Nerai,55 E 54th St,10022,40.760258,-73.97308570000001
434,Pico,419 Beach 129th St,11694,40.57829,-73.849648
435,Paulie Gee's,60 Greenpoint Ave,11222,40.729546,-73.958568
436,Izakaya MEW,53 W 35th St,10001,40.75018531,-73.98632035
437,LĒNA,137 Eldridge St,10002,40.719134999999994,-73.99175799999999
438,NY Pizza Suprema,413 8th Ave,10001,40.75020599,-73.99532318
439,Seed + Mill,409 W 15th St,10011,40.7420723,-74.0056454
440,Mi Noodle Bar,391 2nd Ave,10010,40.7377,-73.98130400000001
441,Balvanera,152 Stanton St,10002,40.72063,-73.98539
442,Blackbeard Ramen,607 Gorge Rd,7010,40.82435891,-73.98769053
443,Sushi Time,72-42 Austin St,11375,40.7185591,-73.841229
444,Marc Forgione,134 Reade St,10013,40.71647,-74.0095599
445,Musashi Asian Cuisine,495 Grand St,11211,40.71113586,-73.95142365
446,Mixtape Bushwick,1533 Myrtle Ave,11237,40.699494200000004,-73.9140196
447,Atera,77 Worth St,10013,40.71694,-74.0057
448,Lamb Noodle Soup 滋補羊肉燴面,4128 Main St,11355,40.757207,-73.829389
449,Antica Ristorante,8 Stone St,10004,40.70393551,-74.01217318
450,Mottley Kitchen,402 E 140th St,10454,40.81008562,-73.92168683
451,Mellow Yellow,1729 1st Av,10128,40.77929,-73.94785
452,Very Fresh Noodles,409 W 15th St,10011,40.74207,-74.00565
453,KanaHashi,981 Manhattan Ave,11222,40.73263,-73.95482
454,Unico,156 Sullivan St,10012,40.72743273,-74.0017169
455,Samba Kitchen,661 9th Ave,10036,40.76095,-73.99115
456,The Greek,458 Greenwich St,10013,40.7237145,-74.0096166
457,Black Rail Coffee,800 Jackson St,7030,40.74897342,-74.03823975
458,Da Raffaele,883 First Ave,10022,40.75353869,-73.96660108
459,Kabob On The Cliff,66 Park Ave,7070,40.82777,-74.10370999999999
460,Appetizzio's Italian Specialties & World Market,5 Ridge Rd,7071,40.8156574,-74.1136625
461,Caledonia Bar,1609 2nd Ave,10028,40.776327,-73.953213
462,Spice Kitchen,71-04 Grand Ave,11378,40.72766,-73.89191
463,Mama's Noodle House,1782 Bay Ridge Ave,11204,40.61686145,-73.99304364
464,Chama Mama,149 W 14th St,10011,40.7384,-73.99892
465,Lucali,575 Henry St,11231,40.6818,-74.00024
466,Pylos,128 E 7th St,10009,40.726079999999996,-73.98415
467,Porto By Antonio - Wood Burning Pizza & Pasta,8921 Old River Rd,7047,40.80488345,-73.99344166
468,Trattoria La Sorrentina,7831 Bergenline Ave,7047,40.80174,-74.00698
469,Mamoun's Falafel,119 MacDougal St,10012,40.7302874,-74.00043829999998
470,Banyan Cafe,110 Bright St,7302,40.717937,-74.050175
471,Sweet Moment,106 Mott St,10013,40.71763,-73.99714
472,Hudson Kebab House,5402 Park Ave,7093,40.78216,-74.01208000000001
473,Johny's Luncheonette,124 W 25th St,10001,40.7444458,-73.99307251
474,Safari Restaurant NYC,219 W 116th St,10026,40.80381,-73.9535
475,Benemon,108 E 4th St,10003,40.72551,-73.98838
476,Atoboy,43 E 28th St,10016,40.74364,-73.98456
477,The Winslow Gin House And Eatery,243 E 14th St,10003,40.73277664,-73.98521423
478,Würstbar,516 Jersey Ave,7302,40.72038,-74.04648
479,Cucina Fresca,2110 Richmond Rd,10306,40.581292,-74.111488
480,Red Peony Chinese Cuisine,24 W 56th St,10019,40.76278,-73.97589
481,The Fire Pit Grill,9 Mt Vernon,7660,40.85698,-74.02749
482,Gomi Korean Wine Bar,186 Ave A,10009,40.72886,-73.9813
483,Lion Lion,332 E 116th St,10029,40.7962659,-73.9365906
484,Natural Blend,769A Washington Ave,11238,40.673877600000004,-73.96287629999999
485,Petite Boucherie,14 Christopher St,10014,40.73382,-74.00041999999999
486,Cardoncello DiVino,43 W 27th St,10001,40.74519,-73.98985
487,Daily Provisions,103 E 19th St,10003,40.73768,-73.98766850000001
488,Werkstatt,509 Coney Island Ave,11218,40.645298,-73.97023399999999
489,Yummy Yummy In My Tummy,467 Union Ave,11211,40.71472838,-73.95176243
490,Naked Dog,47 Java St,11222,40.73127207,-73.95934936
491,The Thirsty Koala,35-12 Ditmars Blvd,11105,40.774415999999995,-73.908739
492,Uncle Gussy's,345 Park Ave,10154,40.75768133,-73.97329537
493,Sushi Nakazawa,23 Commerce St,10014,40.73174652,-74.00454938
494,The Coupe Cocktail Bar,379 Van Duzer St,10304,40.62879904,-74.07974638
495,Juanchi's Burger,225 S 1st St,11211,40.713003,-73.958863
496,Bobwhite Counter,94 Ave C,10009,40.72365,-73.97899
497,Mughlai Indian Cuisine,1724 2nd Ave,10128,40.78002,-73.94978
498,Xe May Sandwich Shop,96 Saint Marks Pl,10009,40.7272,-73.98493
499,Papilles,127 E 7th St,10009,40.72637,-73.98403
500,Anthony's Butcher & Deli,7324 3rd Ave,11209,40.632309,-74.0277176
501,Layaly Cafe,4409 Broadway,11103,40.75741498,-73.91536535
502,Miyabi Asian Fusion,1348 Forest Ave,10302,40.6258092,-74.13456415
503,Georgian Deli and Bakery,2270 86th St,11214,40.600711,-73.99221
504,Stanley's Pierogi,5401 Metropolitan Ave,11385,40.71334,-73.910362
505,Cumin N Eat,700 Plaza Dr,7094,40.785866999999996,-74.044791
506,Avant Garden,130 E 7th St,10009,40.7261499,-73.98402
507,Silky Kitchen,137 E 13th St,10003,40.73297,-73.98829
508,Bangklyn East Harlem,2051 2nd Ave,10029,40.7903,-73.94306999999999
509,Sunny and Annie's,94 Ave B,10003,40.724653,-73.981702
510,Barano,26 Broadway,11249,40.710372,-73.96794
511,Coffee Project New York,78 Rockwell Pl,11217,40.68759279,-73.97924911
512,Pho Metro,31-16 Farrington St,11354,40.7685908,-73.83363840000001
513,Thai Holic,372 Myrtle Ave,11205,40.693005,-73.97128599999999
514,Bar Verde,65 2nd Ave,10003,40.72608491,-73.98973614
515,TØRST,615 Manhattan Ave,11222,40.723394899999995,-73.950856
516,Cafe Per Tutti,7709 Bergenline Ave,7047,40.80066,-74.007787
517,Jacob's Pickles,509 Amsterdam Ave,10024,40.78665044,-73.97552848
518,Peppino's Brick Oven Pizza & Restaurant,469 5th Ave,11215,40.668221,-73.986936
519,Cafe Nube,940 4th Ave,11232,40.65486947,-74.00426946
520,Mama Rao Cucina Italiana,6408 11th Ave,11219,40.6291809,-74.0057526
521,ON,110 Madison Ave,10016,40.745020000000004,-73.98513
522,Mariachi Grill,262 Ridge Rd,7071,40.809509999999996,-74.11764000000001
523,Patsy's Pizzeria,450 Dean St,11217,40.6818695,-73.97618100000001
524,Souk El Shater,43-03 Queens Blvd,11104,40.74385,-73.92113
525,Olio e Piú,3 Greenwich Ave,10014,40.733826,-73.999852
526,Joe's Steam Rice Roll 石磨腸粉王,136-21 Roosevelt Ave,11354,40.76012,-73.82941
527,Tacos El Bronco,37th St & 5th Ave,11232,40.65237,-74.00274
528,Hummus Market,361 Graham Ave,11211,40.71541,-73.94469000000001
529,The Boil,139 Chrystie St,10002,40.71974,-73.99339
530,Suzuki Shokudo,38-01 31st St,11101,40.75353,-73.93184000000001
531,Barn Joo 35,34 W 35th St,10001,40.74964,-73.98581999999999
532,Shuya Cafe de Ramen,42-13 Broadway,11103,40.75800721,-73.91679397
533,Carmentas Italian Specialties,50 Starr St,11221,40.70114,-73.92676999999999
534,Mee Cafe,26 Rutgers St,10002,40.713053,-73.99021
535,Salvatoria Kitchen & Bar,31-18 Broadway,11106,40.76142,-73.92486
536,The Common,9406 3rd Ave,11209,40.61782,-74.03353
537,Streecha,33 E 7th St,10003,40.728496,-73.9889284
538,Taverna On The Bay,661 Bay St,10304,40.6259299,-74.0750599
539,Greedi Kitchen,1031 Bergen St,11216,40.6763513,-73.95232469999999
540,Ling Kee Beef Jerky,42 Canal St,10002,40.714659999999995,-73.99148000000001
541,GAUDir,251 E 110th St,10029,40.79359,-73.94093000000001
542,&pizza - NoMad,15 W 28th St,10001,40.745306,-73.98809920000001
543,Blue Ribbon Brasserie - SoHo,97 Sullivan St,10012,40.725456,-74.003027
544,Jujube Tree,35-02 30th Ave,11103,40.76512,-73.91821
545,Patzeria Family & Friends,311 W 48th St,10036,40.7615,-73.98754
546,Jean-Georges,1 Central Park W,10023,40.76911227,-73.98142907
547,Moe's Doughs Donut Shop,126 Nassau Ave,11222,40.724343100000006,-73.9484718
548,Steak Freak,50 St 6th Ave,10020,40.75455834,-73.98425339
549,The Hideout Chai Bar,42 Rivington St,10002,40.72097904,-73.99106244
550,The Dolar Shop,36-36 Prince St,11354,40.761057,-73.83306
551,Black Nile,592 Nostrand Ave,11216,40.67823,-73.94998000000001
552,Cafe Peanut,586 Newark Ave,7306,40.732359,-74.056997
553,Nurish,637 Washington Ave,11238,40.678340000000006,-73.96363000000001
554,Nizi Sushi,340 Paterson Ave,7073,40.83688451,-74.09949405
555,Roots Cafe,639 5th Ave,11215,40.662848499999996,-73.99168309999999
556,Chobani SoHo,152 Prince St,10012,40.72568955,-74.00105238
557,Allora Ristorante,145 E 47th St,10017,40.754329999999996,-73.97277
558,The Rock NYC,92-03 Rockaway Beach Blvd,11693,40.586228000000006,-73.81551
559,Peri Peri Grill House,235 Malcolm X Blvd,11233,40.684740000000005,-73.92916
560,Nish Nush,41 John St,10038,40.709472,-74.007949
561,Le Fond,105 Norman Ave,11222,40.72584152,-73.95110321
562,Proong Noodle Bar,347 1st Ave,10010,40.735279999999996,-73.98003
563,Sonbobs,34-15 28th Ave,11103,40.76736029999999,-73.91738199999999
564,Newtown,55 Waterbury St,11206,40.7091391,-73.93722679999999
565,Mountain Bird,2162 2nd Ave,10029,40.793819899999995,-73.9398521
566,Breakroom,83 Baxter St,10013,40.71669072,-73.99994401
567,Luke's Lobster FiDi,26 S William St,10004,40.7046213,-74.01077939
568,Village Square Pizza,147 Ave A,10009,40.72748,-73.98268
569,The Blue Stove,415 Graham Ave,11211,40.71745013,-73.94503356
570,Vida Verde,248 W 55th St,10019,40.7650089,-73.983215
571,La Sirène-Soho,558 Broome St,10013,40.72436422,-74.00570869
572,Trapizzino,144 Orchard St,10002,40.72043,-73.98894
573,Hot Space Grilled Fish,39-07 Prince St,11354,40.75975955,-73.83266803
574,Da Franco & Tony Ristorante,2815 Middletown Rd,10461,40.843635,-73.836135
575,Taladwat,714 9th Ave,10019,40.76262,-73.98935999999999
576,The Kebabci,259 Valley Blvd,7075,40.851111200000005,-74.08508379999999
577,Cafe Matisse,167 Park Ave,7070,40.82503,-74.10933
578,Gyu-Kaku Japanese BBQ,4052 Main St,11354,40.758159,-73.829822
579,Ends Meat,254 36th St,11232,40.656121999999996,-74.00763
580,White Maize,277 Smith St,11231,40.6824379,-73.99313354
581,The Drunken Munkey - UES,338 E 92nd St,10128,40.78098,-73.94751
582,KAL,34-05 30th Ave,11103,40.765840000000004,-73.91859000000001
583,Judge Roy Bean Public House,38 W 56th St,10019,40.76291581,-73.97612481
584,The Modern,9 W 53rd St,10019,40.761069899999995,-73.97709
585,Breads Bakery,18 E 16th St,10003,40.73661,-73.99181
586,Xinjiang BBQ Cart,41ST Ave,11355,40.758665,-73.82938399999999
587,My Pie Pizzeria Romana,690 Lexington Ave,10022,40.760851200000005,-73.96948090000001
588,La Vecina,30-66 Steinway St,11103,40.76232,-73.9165699
589,Pokébāb,209 Bedford Ave,11211,40.71683,-73.95866
590,The Harrow New York,720 10th Ave,10019,40.76419,-73.99181999999999
591,Williamsburg Smorgasburg - Saturday,90 Kent Ave,11211,40.721021,-73.962177
592,Natoli's,300 Clarendon St,7094,40.79508,-74.06316
593,Dark Bullet Sake & Oyster Bar,154 W 72nd St,10023,40.77807,-73.98079
594,Biga Contemporary Pizza,3 Clinton St,10002,40.72123,-73.98408
595,Harvest Cafe,694 New Dorp Ln,10306,40.56589,-74.10109
596,Lazy Siu's,742 Driggs Ave,11211,40.71261,-73.96077
597,Arcadia Bar & Kitchen,12-21 Astoria Blvd,11102,40.77235,-73.92922
598,Boucherie Union Square,225 Park Ave S,10003,40.73715,-73.98789000000001
599,Tony's Pizzeria & Restaurant,443 Knickerbocker Ave,11237,40.699286,-73.918724
600,Little Forno,276 Bay Ridge Ave,11220,40.63586215,-74.02665598
601,Vito's Slices and Ices,464 9th Ave,10018,40.7545,-73.99528000000001
602,Kochi,652 10th Ave,10036,40.76201,-73.99351
603,Yafa Cafe,4415 4th Ave,11220,40.64938,-74.00925
604,Dulce De Leche Bakery,6510 Bergenline Ave,7093,40.7933,-74.0126
605,Sushi Nonaka,410 Amsterdam Ave,10024,40.783671999999996,-73.97834300000001
606,Wafels & Dinges,Broadway & 66th St,10023,40.773826,-73.982199
607,TONCHIN NEW YORK,13 W 36th St,10018,40.750272700000004,-73.98449509999999
608,Bubo,515 3rd Ave,10016,40.745979999999996,-73.97753
609,Spring Cafe,153D Centre St,10013,40.71792,-74.00021
610,LoveMama,174 2nd Ave,10003,40.7303859,-73.9860613
611,Daesung Korean Noodle,45-04 162nd St,11358,40.756159999999994,-73.80484
612,Parisi Bakery,198 Mott St,10012,40.7211836,-73.9954365
613,Rincon Criollo,40-09 Junction Blvd,11368,40.7489644,-73.8690814
614,Karczma,136 Greenpoint Ave,11222,40.729977000000005,-73.955128
615,Green Recipes,147-16 45th Ave,11355,40.75541870000001,-73.8146905
616,Trademark Taste + Grind,38 W 36th St,10018,40.75032339,-73.98555663
617,Veggie Castle II,13209 Liberty Ave,11419,40.6908513,-73.81380938
618,Baciccia Pizza e Cucina,426A 7th Ave,11215,40.663816,-73.98448
619,Hot Space,774 51st St,11220,40.640679999999996,-74.00476
620,Tanoshi Sushi Sake Bar,1372 York Ave,10021,40.767568,-73.952815
621,Rocco Steakhouse,72 Madison Ave,10016,40.7438607,-73.9861214
622,Smile of the Beyond,8614 Parsons Blvd,11432,40.7091044,-73.80471990000001
623,Alfalfa,1110 Washington St,7030,40.750479999999996,-74.02725
624,Xixa,241 S 4th St,11211,40.7104,-73.95854
625,L'albero Dei Gelati,341 5th Ave,11215,40.671932,-73.9836569
626,Rizzo Bakery,208 Central Ave,7307,40.74173,-74.05210600000001
627,Vito's Italian Deli,806 Washington St,7030,40.746359999999996,-74.0284
628,Mumbai Masala,1768 Amsterdam Ave,10031,40.82695,-73.94676
629,Fork Hill Kitchen,201 16th St,7087,40.76092,-74.03264
630,Akino,82-80 Broadway,11373,40.741178399999995,-73.8814239
631,Sushumai Asian Fusion,112 Stanton St,10002,40.72116107,-73.98728661
632,Casa Del Chef Bistro,39-06 1/2 64th St,11377,40.746291,-73.900092
633,Halalish,41-17 Main St,11355,40.757774299999994,-73.8290814
634,Jardino Restaurant,1159 3rd Ave,10065,40.76686,-73.96249
635,Lamoon,8140 Broadway,11373,40.74289025,-73.88303401
636,Del Frisco's Double Eagle Steakhouse,1221 Ave Of The Americas,10020,40.759412,-73.982221
637,Oceanic Boil,84-20 37th Ave,11372,40.7498297,-73.8821356
638,bwè kafe,1002 Washington St,7030,40.74872553,-74.02751036
639,Lovin' Today,257 Valley Blvd,7075,40.8511,-74.08525
640,The Halal Guys,W 53rd St 6th Ave,10019,40.76477,-73.98614
641,Intersect by Lexus - NYC,412 W 14th St,10014,40.74115,-74.00624
642,Fishmarket Restaurant,111 South St,10038,40.70717,-74.00192
643,The Jin,856 10th Ave,10019,40.768541,-73.988734
644,Meet The Meat,2392 21st St,11105,40.7769295,-73.9214427
645,Adoro Lei,287 Hudson St,10013,40.725612,-74.00791600000001
646,Mariella,492 6th Ave,11215,40.6662419,-73.985749
647,Prince & I,80 Wayne St,7302,40.7198,-74.04576
648,Tanner Smiths,204 W 55th St,10019,40.76442,-73.98169
649,Colina Cuervo,759 Nostrand Ave,11216,40.67132439,-73.95030357
650,Taqueria al Pastor,128 Wyckoff Ave,11237,40.703326000000004,-73.918029
651,Dun Huang - East Village,300 E 12th St,10003,40.73081,-73.98568
652,My Sushi,7920 Eliot Ave,11379,40.72480798,-73.87933738
653,Seva Indian Cuisine,3007 34th St,11103,40.7653633,-73.9191014
654,Balade - Your Way,144 West 37th St,10018,40.75242996,-73.98872375
655,Housing Works Bookstore Café & Bar,126 Crosby St,10012,40.724540000000005,-73.9965931
656,The Bosphorus,226 Franklin Ave,7110,40.81526269,-74.16181628
657,Omani,160-42 Willets Point Blvd,11357,40.780535,-73.801869
658,Cafe Mogador,133 Wythe Ave,11211,40.719747,-73.95999300000001
659,Cemitas El Tigre,45-14 48th Ave,11377,40.739191299999995,-73.9198491
660,Omar's Mediterranean East Midtown,154 E 55th St,10022,40.75905,-73.969273
661,Boris & Horton,195 Ave A,10009,40.729259899999995,-73.98138
662,SIMÒ PIZZA,90-92 Gansevoort St,10014,40.73925976,-74.00881307
663,Doaba Deli,945 Columbus Ave,10025,40.7994,-73.9624
664,K Rico Steakhouse,772 9th Ave,10019,40.764345,-73.98798000000001
