,Name,street_address,Postcode,Latitude,Longitude
665,NORMA Gastronomia Siciliana,438 3rd Ave,10016,40.743553000000006,-73.980026
666,Gabriel Kreuther,41 W 42nd St,10036,40.754546000000005,-73.982556
667,Little Collins,667 Lexington Ave,10022,40.759912,-73.96964
668,Momofuku Ko,8 Extra Pl,10003,40.724776,-73.991682
669,Umi Sushi,177-13 Union Tpke,11366,40.72619833,-73.79067063
670,Buntopia,994 Broadway,11221,40.69598,-73.93398
671,Spice Symphony,150 E 50th St,10022,40.75589371,-73.97153473
672,Mitsuwa Marketplace,595 River Rd,7020,40.81581076,-73.98012461
673,Benjamin Prime,23 E 40th St,10016,40.751493599999996,-73.97984968
674,Belle Harlem,2363 Adam Clayton Powell Blvd,10030,40.8173,-73.94171
675,Chef's Table at Brooklyn Fare,431 W 37th St,10018,40.75619308,-73.99660909
676,Andris Cuban Sandwich King,484 Stuyvesant Ave,7071,40.8091485,-74.1297321
677,Bang Cookies,1183 Summit Ave,7307,40.75567,-74.04607
678,Pause Cafe,3 Clinton St,10002,40.72123,-73.98408
679,Fish Cheeks,55 Bond St,10012,40.7258,-73.9927
680,Sashimi Express II,223 E 74th St,10021,40.77068,-73.95849
681,Pates Et Traditions,52 Havemeyer St,11211,40.714884999999995,-73.954698
682,Ramen Ishida,122 Ludlow St,10002,40.71962979999999,-73.988366
683,Pommes Frites,128 Macdougal St,10012,40.730022,-74.000152
684,Camellia,155 3rd Ave,10003,40.73415,-73.98633000000001
685,Rombiolo Bakery Cafe,119 Broughton Ave,7003,40.814574,-74.1867955
686,The MasalaWala,179 Essex St,10002,40.72191,-73.98666
687,Bigoi Venezia,1415 2nd Ave,10021,40.770036,-73.9577755
688,Taqueria Tlaxcalli,2103 Starling Ave,10462,40.836240000000004,-73.854962
689,Tacos El Bronco II,White Plains Rd & Lydig Ave,10462,40.85453,-73.86769
690,Menkoi Sato,7 Cornelia St,10014,40.73165366,-74.00170224
691,Tomiño Taberna Gallega,192 Grand St,10013,40.71929789,-73.99691604
692,The Blue Light Speak Cheesy,1112 Bedford Ave,11216,40.686655,-73.95481600000001
693,Taiyaki NYC - Williamsburg,294 Bedford Ave,11249,40.7143691,-73.9615536
694,Leo's Deli Sandwich Shop,1153 Forest Ave,10310,40.626865,-74.12849399999999
695,Madre,214 Franklin St,11222,40.733109999999996,-73.95798
696,Los Tacos No. 1,136 Church St,10007,40.714282,-74.008675
697,Tavern 157,157-12 Northern Blvd,11354,40.76348364,-73.80781728
698,Rubirosa,235 Mulberry St,10012,40.722766,-73.99623299999999
699,Hooked JC,467 Communipaw Ave,7304,40.71469308,-74.06707087
700,Bobwhite Counter,150 Warren St,7302,40.71230846,-74.03984246
701,Taco Mahal,73 7th Ave S,10014,40.732337,-74.003303
702,Ninja Sushi,75 Washington Ave,7110,40.80893921,-74.14705793
703,The Jolly Goat Coffee Bar,515 W 47th St,10036,40.76337888,-73.99392114
704,Porto Salvo,424 E 161st St,10451,40.823679999999996,-73.91294
705,Matthew's Italian Restaurant,1131 Bloomfield Ave,7012,40.83903539,-74.16168666
706,Sake kawa,32-05 36th Ave,11106,40.7563,-73.92855
707,Sabry's,2425 Steinway St,11103,40.76828,-73.91105999999999
708,Adel's Famous Halal Food,49th & 6th,10019,40.763940000000005,-73.99193000000001
709,El Kallejon,209 E 117th St,10035,40.798538,-73.938805
710,51st Bakery and Cafe,5-33 51st Ave,11101,40.74227655,-73.95533092
711,The Wild Son,132 First Ave,10009,40.7274064,-73.98514229999999
712,Carmines Italian Deli,165 Mallory Ave,7304,40.72018,-74.08793
713,Astoria Seafood and Grill,25-79 Steinway St,11103,40.765859999999996,-73.91304000000001
714,Samakmak Seafood,772 Westside Ave,7306,40.72675,-74.07624
715,Tea and Milk,32-02 34th Ave,11106,40.75904,-73.92631
716,Galata Mediterranean Cuisine,212 E 34th St,10016,40.745309999999996,-73.97753
717,Amélie,22 W 8th St,10011,40.7327,-73.99766
718,Pocion,704 W 177th St,10033,40.84757494,-73.93843095
719,Ñaño Ecuadorian Kitchen,691 10th Ave,10036,40.7631,-73.99335
720,Panino Rustico,8222 17th Ave,11214,40.610494,-74.003153
721,Happy Zoe Vegan Bakery,102 B Nassau Ave,11222,40.724233,-73.949646
722,Santiago's Beer Garden,2337 1st Ave,10035,40.79849,-73.93382
723,Prato Bakery,371 4th St,7302,40.724389,-74.051179
724,Despaña Queens,408 Broome St,10013,40.721094,-73.9978255
725,The Breakfast Shack,30th St & 30th Ave,11102,40.76716414,-73.92247094
726,Lagman House,2612 E 14th St,11235,40.587559999999996,-73.95548000000001
727,Benson's NYC,181 Essex St,10002,40.7218302,-73.9866963
728,Yanni’s Coffee,96 7th Ave,10011,40.7397792,-73.99897259999999
729,Bin 5,1233 Bay St,10305,40.613335,-74.065258
730,Yemen Cafe & Restaurant,176 Atlantic Ave,11201,40.68991679999999,-73.99365618
731,The KOVA,1775B Richmond Rd,10306,40.587346000000004,-74.104111
732,Cheeky Sandwiches,35 Orchard St,10002,40.7158,-73.99169
733,ShabuRo,520 Bergen Blvd,7650,40.848059899999996,-73.98447
734,Ginjan,85 E 125th St,10035,40.8053795,-73.93922377
735,"Ciao, Gloria",550 Vanderbilt Ave,11238,40.6804,-73.96822
736,Rome to Brooklyn Pizza,755 Grand St,11211,40.711870000000005,-73.94283
737,Manhatta,28 Liberty St,10005,40.70797,-74.00889000000001
738,Whealth Kitchen,615 Pavonia Ave,7306,40.732409000000004,-74.06106899999999
739,Ras Plant Based,739 Franklin Ave,11238,40.67341,-73.956712
740,Red Poke,600 9th Ave,10036,40.758899299999996,-73.991915
741,Traif,229 S 4th St,11211,40.710658,-73.958872
742,Bua Thai Ramen & Robata Grill,1611 2nd Ave,10028,40.77635,-73.95308
743,Heidi's House By The Side Of The Road,308 E 78th St,10075,40.772189000000004,-73.95502900000001
744,Dear Mama Coffee,308 E 109th St,10029,40.79227,-73.94062
745,SoleLuna Restaurant,40-01 Queens Blvd,11104,40.74399345,-73.92404214
746,Royal 35 Steakhouse,1 E 35th St,10016,40.74897,-73.98348
747,Mordi's Sandwich Shop,320 Communipaw Ave,7304,40.71042,-74.06105
748,Express Halal Food,Jamaica Ave,11421,40.69262,-73.85743000000001
749,Ocean Prime,123 W 52nd St,10019,40.76173,-73.98063
750,Aqua Boil,750 9th Ave,10019,40.763702,-73.988386
751,Sathi,216 3rd Ave,10003,40.73621,-73.98528
752,Angel Indian Restaurant,7414 37th Rd,11372,40.74730692,-73.89128141
753,Philomena's,41-16 Queens Blvd,11104,40.7432,-73.92275
754,Thai Farm Kitchen,416 Church Ave,11218,40.64404175,-73.97605184
755,SOKONGDONG Grill Lighthouse,261 Broad Ave,7022,40.8229,-74.00914
756,Cipollina Gourmet,116-09 Queens Blvd,11375,40.71613715,-73.83314171
757,Tikka Indian Grill,34-14 30th Ave,11103,40.76534,-73.91868000000001
758,Mi Mariachi Taqueria,213 Sip Ave,7306,40.731559999999995,-74.06974
759,Voyager Espresso,110 William St,10038,40.708872,-74.006695
760,Arepa Lady,77-17 37th Ave,11372,40.74948962,-73.88826884
761,Anthony's Cheesecake,71 Washington St,7003,40.7937,-74.19891
762,Nish Nush,88 Reade St,10013,40.715688,-74.007695
763,Fresco Gelateria,138 2nd Ave,10003,40.72881821,-73.98725189
764,Diller,357 Grand St,10002,40.716465,-73.989078
765,Domodachi,300 Union Ave,7070,40.83600327,-74.11293302
766,Tambour,652 5th Ave,11215,40.662504,-73.992533
767,Giovannis Deli,267 Centre Ave,7094,40.792159999999996,-74.06426
768,Manousheh,193 Bleecker St,10012,40.7293499,-74.00134
769,Eleven Madison Park,11 Madison Ave,10010,40.74169074,-73.98720749
770,Dai Hachi Sushi,46-18 Vernon Blvd,11101,40.74633,-73.95319
771,Silver Factory,270 South 5th St,11211,40.709227,-73.958598
772,Ki Sushi,282 Flatbush Ave,11217,40.67844177,-73.97343943
773,Terravita,4193 Broadway,10033,40.84807,-73.93803
774,Sushi Ishikawa,419 E 74th St,10021,40.768783,-73.95389809999999
775,Shu Jiao Fu Zhou Cuisine Restaurant,118 Eldridge St,10002,40.71842904,-73.9916929
776,Rosario's,2255 31st St,11105,40.77499147,-73.9119817
777,Bohemian Restaurant,57 Great Jones St,10012,40.72639,-73.99235999999999
778,Peng's Noodle Folk,1659 1st Ave,10028,40.77726,-73.94932
779,Bar Crudo,412 Fifth Ave,11215,40.670226,-73.98576800000001
780,L'Artusi,228 W 10th St,10014,40.73372,-74.00513000000001
781,Liberty Bagels Midtown,260 W 35th St,10001,40.75255,-73.99249
782,Brooklyn Beet Company,7205 3rd Ave,11209,40.6333416,-74.02687409999999
783,Pinwheel Garden Dumpling & Noodle Bar,318 Communipaw Ave,7304,40.710390000000004,-74.06102
784,Meet Noodles,50 3rd Ave,10003,40.731041999999995,-73.989207
785,Wayla,100 Forsyth St,10002,40.7183,-73.9926038
786,Paratha Wala,103-09 Metropolitan Ave,11375,40.710440000000006,-73.84942
787,Golden Diner,123 Madison St,10002,40.71244,-73.994
788,Cafe Katja,79 Orchard St,10002,40.7177673,-73.990589
789,Marani,97-26 63rd Rd,11374,40.731202,-73.859833
790,Brooklyn Kolache,520 Dekalb Ave,11205,40.69079131,-73.95564795
791,Pi Bakerie,512 Broome St,10013,40.72361,-74.00329
792,Sotto Le Stelle,4407 Queens Blvd,11104,40.743656,-73.9201782
793,Tuscany Steakhouse,117 West 58 St,10019,40.76546,-73.97724000000001
794,Govinda's Vegetarian,305 Schermerhorn St,11217,40.687709999999996,-73.98241
795,Beets and Carrots,9905 3rd Ave,11209,40.614109899999995,-74.03489
796,Tara Rose,384 3rd Ave,10016,40.74176,-73.98123000000001
797,Julia's,818 Woodward Ave,11385,40.703143,-73.902956
798,Sliced,264 W 35th St,10001,40.752551200000006,-73.992769
799,Sapori D'Italia,105 Mulberry St,10013,40.71735,-73.99855
800,Tops Diner,500 Passaic Ave,7029,40.750608,-74.163974
801,The Seafire Grill,158 E 48th St,10017,40.75470121,-73.97225551
802,Sama Street,988 Manhattan Ave,11222,40.7328843,-73.95452323
803,Divya's Kitchen,25 1st Ave,10003,40.72378,-73.98849
804,Pisillo Italian Panini - Chelsea,124 W 25th St,10001,40.74455,-73.99299
805,Wich- One,529 Anderson Ave,7010,40.82267,-73.99023000000001
806,Sabor Unido,77 Jefferson St,7105,40.730542,-74.16115500000001
807,Club A Steakhouse,240 E 58th St,10022,40.760059999999996,-73.96557
808,Simple NYC,109 Eldridge St,10002,40.71821,-73.99223
809,Amaranto Mexican Restaurant,887 Hart St,11237,40.703111,-73.921892
810,Ceremonia Bakeshop,743 Driggs Ave,11211,40.7125,-73.96056
811,Upstate Craft Beer & Oyster Bar,95 1st Ave,10003,40.726372999999995,-73.98655699999999
812,Yumpling,"New York, NY 10020",10020,40.76026917,-73.98019409
813,Bistro Eloise,75-57 31st Ave,11370,40.758733500000005,-73.8920429
814,Napoli Wood Fired Pizza & Bakery,702 Anderson Ave,7010,40.82846,-73.98608
815,Raku,342 E 6th St,10003,40.72649881,-73.98665261
816,Merzouka,2914 Crescent St,11102,40.768973200000005,-73.9249925
817,Wah Fung No 1,79 Chrystie St,10002,40.71735,-73.99457
818,Beyond Sushi,62 W 56th St,10019,40.76331,-73.97717
819,Wafels & Dinges,"New York, NY 10011",10011,40.73928452,-73.99893188
820,Sottocasa Pizzeria - Harlem,227 Lenox Ave,10027,40.805587,-73.947547
821,Tofubox,632 Grand St,11211,40.71125,-73.9468
822,MangiPasta,608 E 187th St,10458,40.855270000000004,-73.88731
823,Bunna Cafe,1084 Flushing Ave,11237,40.705042,-73.928078
824,Ssam Tong,41-08 149th Pl,11355,40.76206795,-73.8147189
825,Lakruwana,668 Bay St,10304,40.62571,-74.075373
826,Fiorito's Bella Famiglia,725 Forest Ave,10310,40.629544,-74.11323399999999
827,Taim West Village,222 Waverly Pl,10014,40.73600238,-74.00195884
828,Il Bambino,34-08 31st Ave,11106,40.762809999999995,-73.92089
829,Fabio Cucina Italiana,214 E 52nd St,10022,40.75667,-73.96911999999999
830,Pure Ktchn,352 West 46th St,10036,40.760529999999996,-73.98992
831,Trattoria L'incontro,21-76 31st St,11105,40.77633304,-73.91058683
832,JoJu,83-25 Broadway,11373,40.74070517,-73.87935018
833,Beyond Sushi,134 West 37th St,10018,40.75247,-73.98845
834,Ruby's Cafe,198 E 11th St,10003,40.730932,-73.988061
835,The Casbah - Halal Cart,66th St & Columbus Ave,10023,40.77373719,-73.98171365
836,Soothr,204 E 13th St,10003,40.732318,-73.9873417
837,Amelie,566 Amsterdam Ave,10024,40.78875,-73.97464000000001
838,Tofu Tofu,96 Bowery,10013,40.71762995,-73.99543013
839,Juliana's Pizza,19 Old Fulton St,11201,40.7026153,-73.993416
840,Boucherie West Village,99 7th Ave S,10014,40.733063,-74.0028772
841,NY Dosas,50 Washington Sq S,10014,40.73083861,-73.9986378
842,Hero King - Nutley,132 Franklin Ave,7110,40.812490000000004,-74.164
843,Tableside Italian Cook Shoppe,345 E 6th St,10003,40.7266287,-73.98633840000001
844,Up Thai,1411 2nd Ave,10021,40.76982759,-73.95763309
845,Indika House,943 Broadway,11206,40.69716,-73.9353
846,Coney Shack,1500 Broadway,10036,40.756776,-73.98566
847,Stone Bridge Pizza & Salad,16 E 41st St,10017,40.75225,-73.98061
848,Calle Dao Chelsea,461 W 23RDST,10011,40.74761383,-74.00354962
849,Ding Food Market,241 Harrison Ave,7029,40.74618238,-74.15841749
850,The Food Sermon Kitchen,141 Flushing Ave,11205,40.6985551,-73.97120290000001
851,Per Se,10 Columbus Cir,10019,40.76815289,-73.98276296
852,Ruffian,125 E 7th St,10009,40.7264,-73.98411
853,Square 1,283 St Pauls Ave,7306,40.7376095,-74.0647848
854,Tava Turkish Mediterranean,318 5th Ave,11215,40.673165000000004,-73.983292
855,Kura,130 St Marks Pl,10009,40.726709,-73.98357940000001
856,Tap Haus 33,14 E 33rd St,10016,40.747246999999994,-73.9843
857,Lombardo's of Bay Ridge,279 71st St,11209,40.634741,-74.0284259
858,L'Appart,225 Liberty St,10281,40.712708,-74.015919
859,La Morada,308 Willis Ave,10454,40.810552,-73.92142
860,Top Thai Vintage,55 Carmine St,10014,40.729946999999996,-74.004227
861,Bucket & Bay Craft Gelato,150 Bay St,7302,40.72081629,-74.04016055
862,Kudo Society Cafe,138 W Central Blvd,7650,40.85112,-74.00307
863,The Simone,151 E 82nd St,10028,40.77682,-73.95698
864,Kati Shop,162 E 55th St,10022,40.758990000000004,-73.96883000000001
865,La Parisienne,9 Maiden Ln,10038,40.70961,-74.00937990000001
866,Ray's Candy Store,113 Avenue A,10009,40.72627762,-73.98357075
867,Lowerline,794 Washington Ave,11238,40.674209999999995,-73.96324
868,Buena Vista Restaurant & Bar,536 9th Ave,10018,40.756859999999996,-73.99356
869,Chicken Insider,1752 2nd Ave,10128,40.781226000000004,-73.949085
870,969 NYC Coffee,37-61 80th St,11372,40.74779,-73.88553
871,Le Bernardin,155 W 51st St,10019,40.761557,-73.981763
872,Louie's Pizza,81-34 Baxter Ave,11373,40.7459,-73.8834
873,DiSO's Italian Sandwich Society,"New York, NY 10017",10017,40.75273233,-73.97050906
874,Secchu Yokota,199 E 3rd St,10009,40.72283,-73.98311
875,Birria-Landia,Roosevelt Ave & 78th St,11372,40.747258,-73.887784
876,Zusik,202 W 14th St,10011,40.738532,-74.00036800000001
877,Nefista Vegan Kofteh,656 Anderson Ave,7010,40.826537,-73.98705799999999
878,Ba Xuyen,4222 8th Ave,11232,40.64528,-73.9997099
879,Pado,199 2nd Ave,10003,40.7314,-73.98589
880,El Mate,550 Court St,11231,40.67497822,-73.99952249
881,Tramezzini NYC,309 E Houston,10002,40.72118484,-73.98347273
882,Da Tang Szechuan,18 W 38th St,10018,40.75128,-73.98376
883,Antonio's Trattoria,2370 Belmont Ave,10458,40.854131,-73.886601
884,Zen Ramen & Sushi,150 W 36th street,10018,40.75185,-73.98892
885,Raku,48 Macdougal St,10012,40.72728,-74.00251999999999
886,Bengal Tiger Indian Food,58 W 56th St,10019,40.763166999999996,-73.977131
887,El Tango Argentina Grill,35 Moonachie Rd,7074,40.84235,-74.04442
888,Emma's Torch,345 Smith St,11231,40.679959999999994,-73.99478
889,Obaltan,799 Abbot Blvd,7024,40.831469399999996,-73.9829498
890,Don Angie,103 Greenwich Ave,10014,40.73778,-74.00197
891,Thursday Kitchen,424 E 9th St,10009,40.7275,-73.9838
892,Thai Villa,5 E 19th St,10003,40.739020000000004,-73.99065
893,Cascalote Latin Bistro,2126 2nd Ave,10029,40.79271,-73.94069
894,Prince Street Pizza,27 Prince St,10012,40.72290877,-73.99448633
895,POST,42 Ave B,10009,40.72298,-73.98302
896,Sahadi's,187 Atlantic Ave,11201,40.690218,-73.993367
897,Spicy Moon East Village,328 E 6th St,10003,40.72674,-73.98722
898,Suprema,92 Park Ave,7070,40.82743835,-74.10479736
899,Bar B,84 7th Ave,10011,40.7395804,-73.99911800000001
900,Loi Estiatorio,132 W 58th St,10019,40.765384999999995,-73.978002
901,Confectionery,440 E 9th St,10009,40.72732,-73.98305
902,Mysttik Masaala,21-77 31st St,11105,40.77647258,-73.91064578
903,Haswell Green's,240 W 52nd St,10019,40.763009999999994,-73.98416
904,Laojie Hotpot,811 53rd St,11220,40.63897093,-74.00468469
905,Pita Point,508 Marion St,11233,40.681779999999996,-73.90916
906,Faicco's Italian Specialties,260 Bleecker St,10014,40.73113,-74.00305999999999
907,M & P Biancamano,1116 Washington St,7030,40.750659999999996,-74.02719
908,Top Thai Greenwich,235 Sullivan St,10012,40.729771,-73.999392
909,Orchard Grocer,78 Orchard St,10002,40.717744,-73.990187
910,B Side Pizza & Wine Bar,370 W 51st St,10019,40.763940000000005,-73.98833990000001
911,Näna Good Eats,152-67A 10th Ave,11357,40.79393701,-73.8078447
912,KazuNori  | The Original Hand Roll Bar,15 W 28th St,10001,40.74519,-73.98824
913,Prospect Provisions,597 4th Ave,11215,40.66499389,-73.99305404
914,Samurai Sushi,245 Paterson Ave,7073,40.83398915,-74.09750596
915,Pisillo Italian Panini,97 Nassau St,10038,40.710558,-74.007594
916,Sami's Kabab House,35-57 Crescent St,11106,40.7587874,-73.93264350000001
917,Crema,695 Bergen Ave,7304,40.72389201,-74.07036854
918,Pomp & Circumstance Dining,577 Lorimer St,11211,40.714166,-73.949612
919,Sushi By M,75 E 4th St,10003,40.726659999999995,-73.99027
920,Jajaja Plantas Mexicana,162 E Broadway,10002,40.71415303,-73.9904248
921,Lillo Cucina Italiana,331 Henry St,11201,40.69023,-73.99634
922,Sai,95-34 Queens Blvd,11374,40.73012,-73.8636
923,Bushwick Grind,63 Whipple St,11206,40.70167,-73.944455
924,Song E Napule,146 W Houston St,10012,40.72813,-74.00188
925,Cuomo And Sons,7709 Broadway,7047,40.79803,-74.00219
926,Yaar Indian Restaurant,22-55 31st St,11105,40.77480303,-73.9120166
927,PROOF Coffee Roasters,335 E 27th St,10016,40.73985,-73.97742
928,MTHR Vegan,329 W 49th St,10019,40.762409999999996,-73.98806
929,SalaThai Restaurant,307 Amsterdam Ave,10023,40.780119899999995,-73.98031999999999
930,Best Bagel & Coffee,225 W 35th St,10001,40.7522683,-73.99108609999999
931,The Family Store,6905 3rd Ave,11209,40.63544,-74.02600000000001
932,Daniel,60 E 65th St,10065,40.76677368,-73.967607
933,Nicandra's,264 Irving Ave,11237,40.69962,-73.915939
934,THEP Thai Restaurant,1439 2nd Ave,10021,40.77078,-73.95727
935,My Cuban Spot,488 Carroll St,11215,40.67690863,-73.98615382
936,The Calaveras,949 Columbus Ave,10025,40.79956,-73.96240999999999
937,Beyond Sushi,229 E 14th St,10003,40.7329,-73.98588000000001
938,Brooklyn Blend,194 Tompkins Ave,11206,40.69235757,-73.9457687
939,La Contenta,102 Norfolk St,10002,40.71873,-73.98691
940,Piccante,7214-A 3rd Ave,11209,40.63319,-74.02741999999999
941,Gossip House,147-46 Northern Blvd,11354,40.76519545,-73.81751908
942,Gramercy Tavern,42 E 20th St,10003,40.738440000000004,-73.98825
943,Dutch Freds,307 W 47th St,10036,40.760835,-73.98782299999999
944,Newyorktitlan,1525 Gates Ave,11237,40.699050899999996,-73.91294098
945,DeStefano's Steakhouse,89 Conselyea St,11211,40.71503,-73.94767
946,Jungsik,2 Harrison St,10013,40.71859102,-74.00888443
947,Benyam Cuisine,2795 Frederick Douglas Blvd,10039,40.82522,-73.94058000000001
948,Chela Modern Mexican,408 5th Ave,11215,40.670320000000004,-73.98569
949,Addictive Wine and Tapas Bar,87-01 Northern Blvd,11372,40.75632,-73.8806
950,Otis,18 Harrison Pl,11206,40.706011,-73.932598
951,Taste of Heaven,251 Jackson St,11211,40.717115,-73.940613
952,The Alcove,41-11 49th St,11104,40.7459065,-73.915103
953,Anytime,23 W 32nd St,10001,40.74779,-73.98674
954,Korai Kitchen,576 Summit Ave,7306,40.733896,-74.059151
955,Frenchy's Food Truck,341 Eastern Pkwy,11238,40.67069884,-73.95779841
956,Panzerotti Bites,235 Smith St,11231,40.683715,-73.99226999999999
957,Los Tacos No.1,229 W 43rd St,10036,40.7575067,-73.98777170000001
958,Hold Fast Kitchen and Spirits,364 W 46th St,10036,40.76064,-73.99023000000001
959,Scott's Pizza Tours,"New York, NY 10001",10001,40.75024414,-73.99702454
960,Andrea Salumeria,247 Central Ave,7307,40.74355,-74.0514
961,L'industrie Pizzeria,254 S 2nd St,11211,40.71162,-73.95783
962,Royal Grill Halal Food,44TH St And 6th Ave,10018,40.75614,-73.98316
963,Joey Bats Café,129 Allen St,10002,40.72006,-73.99037
964,Green Juice Cafe,4316 Broadway,10033,40.85188,-73.9346599
965,Koroni Souvlaki and Grill,29-37 Newtown Ave,11102,40.768544,-73.92121
966,Tony's Beechhurst Deli,1118 154th St,11357,40.7917673,-73.80748270000001
967,Cafe Talya,218 Ave B,7002,40.68448857,-74.10734971
968,"Sal, Kris, & Charlie's Deli",33-12 23rd Ave,11105,40.77332688,-73.91138077
969,Haidilao Hotpot,138-23 39th Ave,11354,40.761263299999996,-73.82803009999999
970,Los Tacos No.1,75 9th Ave,10011,40.7425547,-74.0060838
971,Coffee Project New York,239 E 5th St,10003,40.72699,-73.98921999999999
972,Madame Poupon,387A Nostrand Ave,11216,40.6844653,-73.9502516
973,Pita Palace,413 Graham Ave,11211,40.7172485,-73.9448511
974,Dian Kitchen,435 E 9th St,10009,40.72772,-73.98321
975,Second Street Bakery,402 2nd St,7302,40.72338,-74.05134
976,Sushi by Bou Times Square,132 W 47th St,10036,40.75851,-73.98321999999999
977,Mr. Jones Supper Club,22 Jones St,10014,40.731781899999994,-74.0025704
978,Tres Leches Cafe,356 E 112th St,10029,40.79356,-73.93778
979,Joe's Italian Deli,685 E 187th St,10458,40.8544073,-73.88487509999999
980,191 Knickerbocker,191 Knickerbocker Ave,11237,40.703920000000004,-73.92683000000001
981,Baba's Pierogies,295 3rd Ave,11215,40.67687,-73.98633000000001
982,Casa d'Paco,73 Warwick St,7105,40.72529,-74.16309
983,Lella Alimentari,325 Manhattan Ave,11211,40.71516,-73.946451
984,Abuqir Seafood,24-19 Steinway St,11103,40.7683,-73.9110794
985,4 Charles Prime Rib,4 Charles St,10014,40.73513,-74.00065
986,Los Mariscos,409 W 15th St,10011,40.74207,-74.00565
987,Fiore Deli of Hoboken,414 Adams St,7030,40.74301,-74.03626
988,Kick Axe Throwing,622 Degraw St,11217,40.679026799999995,-73.98307700000001
989,Sushi Lin,335 Flatbush Ave,11217,40.677786,-73.97259100000001
990,Lim's Kitchen,38-40 Crescent St,11101,40.75497,-73.93692
991,Mysttik Masaala,399 Park Ave,10022,40.75932,-73.97209000000001
992,Casa Della Mozzarella Italian Deli,604 E 187th St,10458,40.85533,-73.88741999999999
993,Griot Cafe,434 Central Ave,7307,40.749556,-74.04663552
994,Maxi’s Noodle,135-11 38th Ave,11354,40.76052,-73.83227
995,Yia Yia's Taverna,1035 Flushing Ave,11237,40.70401,-73.93086
996,Mughlai Grill,6 Clinton St,10002,40.7210905,-73.9840446
997,Non Solo Piada,302 W 37th St,10018,40.75414,-73.99245
998,Sorriso Italian Pork Store,4416 30th Ave,11103,40.7621401,-73.9116109
999,Forma Pasta Factory,14 Bedford Ave,11222,40.72371,-73.95156999999999
